ano,sigla_uf,rede,ensino,ano_escolar,taxa_aprovacao
2005,AP,estadual,fundamental,2,68.2
2005,AP,estadual,fundamental,3,78.3
2005,AP,estadual,fundamental,4,83
2005,AP,estadual,fundamental,5,87.6
2005,AP,estadual,fundamental,6,82.2
2005,AP,estadual,fundamental,7,85.3
2005,AP,estadual,fundamental,8,86.4
2005,AP,estadual,fundamental,9,88.6
2005,AP,estadual,medio,1,63.7
2005,AP,estadual,medio,2,70.6
2005,AP,estadual,medio,3,73.2
2005,AP,estadual,medio,4,
2005,AP,privada,fundamental,1,
2005,AP,privada,fundamental,2,87.7
2005,AP,privada,fundamental,3,90.7
2005,AP,privada,fundamental,4,93.9
2005,AP,privada,fundamental,5,95.4
2005,AP,privada,fundamental,6,93.3
2005,AP,privada,fundamental,7,94.3
2005,AP,privada,fundamental,8,97.3
2005,AP,privada,fundamental,9,95.9
2005,AP,privada,medio,1,92.5
2005,AP,privada,medio,2,96.7
2005,AP,privada,medio,3,95.3
2005,AP,privada,medio,4,
2005,AP,publica,fundamental,1,
2005,AP,publica,fundamental,2,68.7
2005,AP,publica,fundamental,3,78.2
2005,AP,publica,fundamental,4,82.7
2005,AP,publica,fundamental,5,86.6
2005,AP,publica,fundamental,6,80.7
2005,AP,publica,fundamental,7,84.2
2005,AP,publica,fundamental,8,86
2005,AP,publica,fundamental,9,88.3
2005,AP,total,fundamental,1,
2005,AP,total,fundamental,2,70.1
2005,AP,total,fundamental,3,79.1
2005,AP,total,fundamental,4,83.5
2005,AP,total,fundamental,5,87.3
2005,AP,total,fundamental,6,81.5
2005,AP,total,fundamental,7,84.9
2005,AP,total,fundamental,8,86.8
2005,AP,total,fundamental,9,88.9
2005,AP,total,medio,1,65.4
2005,AP,total,medio,2,72.5
2005,AP,total,medio,3,75.1
2005,AP,total,medio,4,
2005,BA,estadual,fundamental,1,
2005,BA,estadual,fundamental,2,55.4
2005,BA,estadual,fundamental,3,62.4
2005,BA,estadual,fundamental,4,68.4
2005,BA,estadual,fundamental,5,71.1
2005,BA,estadual,fundamental,6,55.5
2005,BA,estadual,fundamental,7,65.3
2005,BA,estadual,fundamental,8,64.5
2005,BA,estadual,fundamental,9,72.8
2005,BA,estadual,medio,1,57
2005,BA,estadual,medio,2,69.4
2005,BA,estadual,medio,3,77.1
2005,BA,estadual,medio,4,89.8
2005,BA,privada,fundamental,1,94.4
2005,BA,privada,fundamental,2,95
2005,BA,privada,fundamental,3,96.2
2005,BA,privada,fundamental,4,96.1
2005,BA,privada,fundamental,5,96.1
2005,BA,privada,fundamental,6,90.5
2005,BA,privada,fundamental,7,90.1
2005,BA,privada,fundamental,8,90.5
2005,BA,privada,fundamental,9,91.5
2005,BA,privada,medio,1,85.8
2005,BA,privada,medio,2,90.7
2005,BA,privada,medio,3,93.4
2005,BA,privada,medio,4,97.9
2005,BA,publica,fundamental,1,72.2
2005,BA,publica,fundamental,2,57.8
2005,BA,publica,fundamental,3,63.2
2005,BA,publica,fundamental,4,67.8
2005,BA,publica,fundamental,5,72.2
2005,BA,publica,fundamental,6,55.4
2005,BA,publica,fundamental,7,65.5
2005,BA,publica,fundamental,8,65.6
2005,BA,publica,fundamental,9,74.7
2005,BA,total,fundamental,1,72.2
2005,BA,total,fundamental,2,60.1
2005,BA,total,fundamental,3,65.6
2005,BA,total,fundamental,4,69.8
2005,BA,total,fundamental,5,74
2005,BA,total,fundamental,6,57.3
2005,BA,total,fundamental,7,67.1
2005,BA,total,fundamental,8,67.4
2005,BA,total,fundamental,9,76.1
2005,BA,total,medio,1,59.1
2005,BA,total,medio,2,71.3
2005,BA,total,medio,3,79
2005,BA,total,medio,4,91.6
2005,CE,estadual,fundamental,1,89.4
2005,CE,estadual,fundamental,2,78.1
2005,CE,estadual,fundamental,3,81.8
2005,CE,estadual,fundamental,4,74.1
2005,CE,estadual,fundamental,5,80.6
2005,CE,estadual,fundamental,6,72.5
2005,CE,estadual,fundamental,7,75.3
2005,CE,estadual,fundamental,8,76.9
2005,CE,estadual,fundamental,9,76.1
2005,CE,estadual,medio,1,62.3
2005,CE,estadual,medio,2,73.1
2005,CE,estadual,medio,3,79.7
2005,CE,estadual,medio,4,86.9
2005,CE,privada,fundamental,1,95.7
2005,CE,privada,fundamental,2,96.1
2005,CE,privada,fundamental,3,97.4
2005,CE,privada,fundamental,4,97.2
