ano,rede,ensino,ano_escolar,taxa_aprovacao
2009,publica,medio,2,76
2009,publica,medio,3,82.3
2009,publica,medio,4,90.5
2009,total,fundamental,1,94.9
2009,total,fundamental,2,86.4
2009,total,fundamental,3,85.1
2009,total,fundamental,4,89.2
2009,total,fundamental,5,89.1
2009,total,fundamental,6,77.7
2009,total,fundamental,7,81.4
2009,total,fundamental,8,83.6
2009,total,fundamental,9,83.7
2009,total,medio,1,68.6
2009,total,medio,2,78.1
2009,total,medio,3,84.2
2009,total,medio,4,90.6
2011,estadual,fundamental,1,97.8
2011,estadual,fundamental,2,94.3
2011,estadual,fundamental,3,89.8
2011,estadual,fundamental,4,93.6
2011,estadual,fundamental,5,91.6
2011,estadual,fundamental,6,80.2
2011,estadual,fundamental,7,83.3
2011,estadual,fundamental,8,83.6
2011,estadual,fundamental,9,82.2
2011,estadual,medio,1,67.6
2011,estadual,medio,2,77.2
2011,estadual,medio,3,83.7
2011,estadual,medio,4,87.8
2011,municipal,fundamental,1,96
2011,municipal,fundamental,2,90.2
2011,municipal,fundamental,3,84.4
2011,municipal,fundamental,4,88.9
2011,municipal,fundamental,5,88.8
2011,municipal,fundamental,6,76
2011,municipal,fundamental,7,80.3
2011,municipal,fundamental,8,84.2
2011,municipal,fundamental,9,87.2
2011,privada,fundamental,1,97.5
2011,privada,fundamental,2,97.6
2011,privada,fundamental,3,97.9
2011,privada,fundamental,4,97.9
2011,privada,fundamental,5,97.7
2011,privada,fundamental,6,94.9
2011,privada,fundamental,7,94.2
2011,privada,fundamental,8,94.3
2011,privada,fundamental,9,94.4
2011,privada,medio,1,89.8
2011,privada,medio,2,94.2
2011,privada,medio,3,97
2011,privada,medio,4,95.3
2011,publica,fundamental,1,96.3
2011,publica,fundamental,2,91
2011,publica,fundamental,3,85.4
2011,publica,fundamental,4,89.9
2011,publica,fundamental,5,89.5
2011,publica,fundamental,6,78.2
2011,publica,fundamental,7,82
2011,publica,fundamental,8,83.9
2011,publica,fundamental,9,84.1
2011,publica,medio,1,67.8
2011,publica,medio,2,77.4
2011,publica,medio,3,83.8
2011,publica,medio,4,88
2011,total,fundamental,1,96.5
2011,total,fundamental,2,91.9
2011,total,fundamental,3,87.1
2011,total,fundamental,4,90.9
2011,total,fundamental,5,90.5
2011,total,fundamental,6,80.1
2011,total,fundamental,7,83.4
2011,total,fundamental,8,85.2
2011,total,fundamental,9,85.5
2011,total,medio,1,70.2
2011,total,medio,2,79.4
2011,total,medio,3,85.5
2011,total,medio,4,88.3
2013,estadual,fundamental,1,98.4
2013,estadual,fundamental,2,97.7
2013,estadual,fundamental,3,91.5
2013,estadual,fundamental,4,94.7
2013,estadual,fundamental,5,92.6
2013,estadual,fundamental,6,83.9
2013,estadual,fundamental,7,85.2
