ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,Norte,privada,fundamental,finais (6-9),97.4,0.97348702,288.83,287.33,6.2696671,6.1,6.8
2019,Norte,privada,fundamental,iniciais (1-5),98.9,0.98919398,244.07,235.82,6.9156728,6.8,7.1
2019,Norte,privada,medio,todos (1-4),96.5,0.97121102,322.95,317.67,5.9810171,5.8,6.4
2019,Norte,publica,fundamental,finais (6-9),86.3,0.86533099,246.55,246.97,4.892333,4.2,4.8
2019,Norte,publica,fundamental,iniciais (1-5),90.2,0.903808,210.05,198.28,5.5831451,5,4.9
2019,Norte,total,fundamental,finais (6-9),87.1,0.87343502,250.86,251.08,5.0324998,4.4,5
2019,Norte,total,fundamental,iniciais (1-5),91,0.911533,208.05,196.05,5.504365,5,5
2019,Norte,total,medio,todos (1-4),81.5,0.84502,257.7,262.27,4.2352438,3.6,4.5
2019,Sudeste,estadual,fundamental,finais (6-9),92.2,0.92220002,260.32,258.98,5.3218331,4.9,5.4
2019,Sudeste,estadual,fundamental,iniciais (1-5),99.1,0.99096298,239.08,222.94,6.5860338,6.5,6.3
2019,Sudeste,estadual,medio,todos (1-4),86.4,0.86483699,274.1,277.55,4.6943231,4.1,4.8
2019,Sudeste,privada,fundamental,finais (6-9),97.4,0.97349799,308.17,296.73,6.7484999,6.6,7.4
2019,Sudeste,privada,fundamental,iniciais (1-5),98.9,0.98919499,262.67,248.19,7.4960852,7.4,7.6
2019,Sudeste,privada,medio,todos (1-4),96.6,0.966483,336.51,323.27,6.2552991,6,6.9
2019,Sudeste,publica,fundamental,finais (6-9),91.5,0.91589701,261.14,259.42,5.342833,4.9,5.4
2019,Sudeste,publica,fundamental,iniciais (1-5),96.7,0.96706003,234.41,219.88,6.4411402,6.2,6.2
2019,Sudeste,total,fundamental,finais (6-9),92.6,0.92668599,270.2,266.6,5.6135001,5.2,5.7
2019,Sudeste,total,fundamental,iniciais (1-5),97.2,0.97159702,239.71,225.21,6.6393638,6.5,6.4
2019,Sudeste,total,medio,todos (1-4),88.1,0.88532901,284.69,285.3,4.9590769,4.4,5.2
