ano,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2011,municipal,fundamental,iniciais (1-5),89.4,0.89507347,206.13,187.14,5.3056016,4.7,4.2
2011,privada,fundamental,finais (6-9),94.5,0.94449234,298.42,282.25,6.3445001,6,6.2
2011,privada,fundamental,iniciais (1-5),97.7,0.97719741,242.8,222.69,6.6529384,6.5,6.6
2011,privada,medio,todos (1-4),93.4,0.93998158,332.89,312.75,6.0468216,5.7,5.8
2011,publica,fundamental,finais (6-9),81.8,0.81979972,244.83,238.77,4.7268333,3.9,3.7
2011,publica,fundamental,iniciais (1-5),90.2,0.90286142,204.58,185.69,5.2492361,4.7,4.4
2011,publica,medio,todos (1-4),75.2,0.78483742,265.38,261.38,4.3296356,3.4,3.4
2011,total,fundamental,finais (6-9),83.4,0.83493716,252.77,245.19,4.9661665,4.1,3.9
2011,total,fundamental,iniciais (1-5),91.2,0.91280907,209.63,190.58,5.4346795,5,4.6
2011,total,medio,todos (1-4),77.4,0.80223972,274.82,268.57,4.5699949,3.7,3.7
2013,estadual,fundamental,finais (6-9),85.1,0.85141498,244.75,240.21,4.7493334,4,4.2
2013,estadual,fundamental,iniciais (1-5),94.7,0.94902277,215.24,199.24,5.6994014,5.4,5
2013,estadual,medio,todos (1-4),78,0.80565822,260.64,256.32,4.1876044,3.4,3.6
2013,municipal,fundamental,finais (6-9),82,0.82483315,241.61,237.57,4.6529999,3.8,3.9
2013,municipal,fundamental,iniciais (1-5),91.1,0.91136158,206.86,191.19,5.3928485,4.9,4.5
2013,privada,fundamental,finais (6-9),94.6,0.94623923,293.91,280.91,6.2470002,5.9,6.5
2013,privada,fundamental,iniciais (1-5),97.8,0.97839648,244.47,229.55,6.8096342,6.7,6.8
2013,privada,medio,todos (1-4),93.8,0.92813331,321.58,306.19,5.7899103,5.4,6
2013,publica,fundamental,finais (6-9),83.7,0.83804858,243.78,239.38,4.7196665,4,4.1
2013,publica,fundamental,iniciais (1-5),91.8,0.91841561,205.08,189.71,5.3319159,4.9,4.7
2013,publica,medio,todos (1-4),78.1,0.80798024,261.05,256.6,4.1975541,3.4,3.6
2013,total,fundamental,finais (6-9),85.1,0.85222369,251.53,245.8,4.9558334,4.2,4.4
2013,total,fundamental,iniciais (1-5),92.7,0.92787218,211.21,195.91,5.5618243,5.2,4.9
2013,total,medio,todos (1-4),80.1,0.82332313,270.14,264.05,4.4367499,3.7,3.9
2015,estadual,fundamental,finais (6-9),85.3,0.85259575,250.94,247.52,4.9743333,4.2,4.5
2015,estadual,fundamental,iniciais (1-5),94.8,0.94988275,223.3,211.19,6.0707827,5.8,5.3
2015,estadual,medio,todos (1-4),79.7,0.81642801,259.69,260.6,4.2380433,3.5,3.9
2015,municipal,fundamental,finais (6-9),82.8,0.83238059,249.53,246.71,4.9375,4.1,4.3
2015,municipal,fundamental,iniciais (1-5),91.6,0.91695869,215.61,203.63,5.7865186,5.3,4.8
2015,privada,fundamental,finais (6-9),95.3,0.95324093,295.32,285.92,6.3540001,6.1,6.8
2015,privada,fundamental,iniciais (1-5),98.1,0.98099756,243.55,234.55,6.8830085,6.8,7
2015,privada,medio,todos (1-4),94.5,0.94761264,310.02,307.04,5.6404252,5.3,6.3
2015,publica,fundamental,finais (6-9),84.1,0.84192783,250.57,247.33,4.9650002,4.2,4.5
2015,publica,fundamental,iniciais (1-5),92.2,0.92282218,214.55,202.28,5.7416983,5.3,5
2015,publica,medio,todos (1-4),79.8,0.81974769,260.04,260.88,4.2471504,3.5,4
2015,total,fundamental,finais (6-9),85.7,0.8579182,257.73,253.5,5.1871667,4.5,4.7
2015,total,fundamental,iniciais (1-5),93.2,0.93234324,219.3,207.57,5.928504,5.5,5.2
2015,total,medio,todos (1-4),81.7,0.83433729,267.6,267.86,4.4579711,3.7,4.3
2017,estadual,fundamental,finais (6-9),86.8,0.86815858,252.99,254.83,5.1303334,4.5,4.8
2017,estadual,fundamental,iniciais (1-5),95.6,0.95722812,227.89,218.55,6.2927403,6,5.6
2017,estadual,medio,todos (1-4),81.2,0.82060015,259.92,260.11,4.2340879,3.5,4.4
2017,municipal,fundamental,finais (6-9),84.2,0.84629679,249.99,251.86,5.0308332,4.3,4.6
